"Source Table: ACSDT1Y2023.B19013"

"Geographic Area Name","Median household income in the past 12 months (in 2023 inflation-adjusted dollars)","MoE"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","153,202","± 3,027"
"San Francisco-Oakland-Fremont, CA Metro Area","127,792","± 2,754"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","121,469","± 1,331"
"Lexington Park, MD Metro Area","116,297","± 7,003"
"Bridgeport-Stamford-Danbury, CT Metro Area","111,058","± 2,837"
"Seattle-Tacoma-Bellevue, WA Metro Area","110,744","± 1,836"
"Boston-Cambridge-Newton, MA-NH Metro Area","110,697","± 1,909"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","107,667","± 4,582"
"Santa Cruz-Watsonville, CA Metro Area","105,631","± 7,565"
"Napa, CA Metro Area","104,686","± 11,717"
"Manchester-Nashua, NH Metro Area","103,727","± 3,128"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","103,674","± 1,360"
"Urban Honolulu, HI Metro Area","103,131","± 2,767"
"Denver-Aurora-Centennial, CO Metro Area","103,055","± 1,506"
"Provo-Orem-Lehi, UT Metro Area","100,791","± 2,948"
"Santa Rosa-Petaluma, CA Metro Area","100,707","± 3,474"
"Ogden, UT Metro Area","100,461","± 2,264"
"Vallejo, CA Metro Area","100,027","± 4,218"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","99,609","± 3,833"
"Austin-Round Rock-San Marcos, TX Metro Area","98,508","± 2,382"
"Trenton-Princeton, NJ Metro Area","96,152","± 4,654"
"Raleigh-Cary, NC Metro Area","96,096","± 3,288"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","95,839","± 2,806"
"Burlington-South Burlington, VT Metro Area","95,497","± 6,283"
"Boulder, CO Metro Area","95,363","± 6,878"
"New York-Newark-Jersey City, NY-NJ Metro Area","95,220","± 777"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","95,102","± 1,280"
"Sacramento-Roseville-Folsom, CA Metro Area","94,992","± 1,576"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","94,925","± 1,706"
"Salt Lake City-Murray, UT Metro Area","94,409","± 2,963"
"Baltimore-Columbia-Towson, MD Metro Area","94,289","± 1,744"
"Anchorage, AK Metro Area","94,150","± 4,935"
"Worcester, MA Metro Area","94,099","± 3,131"
"Olympia-Lacey-Tumwater, WA Metro Area","93,170","± 5,067"
"Midland, TX Metro Area","92,934","± 6,334"
"Charlottesville, VA Metro Area","92,265","± 4,352"
"Hartford-West Hartford-East Hartford, CT Metro Area","92,176","± 1,658"
"Portland-South Portland, ME Metro Area","92,117","± 2,897"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","91,960","± 779"
"Bend, OR Metro Area","91,658","± 5,035"
"Mount Vernon-Anacortes, WA Metro Area","91,234","± 3,450"
"Santa Maria-Santa Barbara, CA Metro Area","91,197","± 4,173"
"Bozeman, MT Metro Area","91,158","± 4,908"
"Greeley, CO Metro Area","91,047","± 5,183"
"San Luis Obispo-Paso Robles, CA Metro Area","90,670","± 4,627"
"Naples-Marco Island, FL Metro Area","90,072","± 4,977"
"Barnstable Town, MA Metro Area","89,893","± 3,937"
"Colorado Springs, CO Metro Area","89,792","± 3,762"
"Fort Collins-Loveland, CO Metro Area","88,182","± 4,346"
"Salinas, CA Metro Area","88,035","± 4,366"
"Riverside-San Bernardino-Ontario, CA Metro Area","87,843","± 1,368"
"Stockton-Lodi, CA Metro Area","87,418","± 3,755"
"Chicago-Naperville-Elgin, IL-IN Metro Area","87,071","± 941"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","86,867","± 1,004"
"Dallas-Fort Worth-Arlington, TX Metro Area","86,860","± 1,138"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","86,505","± 862"
"Fairbanks-College, AK Metro Area","86,391","± 7,047"
"Kingston, NY Metro Area","85,878","± 4,432"
"Phoenix-Mesa-Chandler, AZ Metro Area","85,700","± 1,382"
"Rochester, MN Metro Area","85,213","± 4,775"
"Charleston-North Charleston, SC Metro Area","85,165","± 2,757"
"Logan, UT-ID Metro Area","85,111","± 5,063"
"Huntsville, AL Metro Area","84,929","± 2,662"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","84,685","± 1,796"
"Richmond, VA Metro Area","84,332","± 2,098"
"Appleton, WI Metro Area","83,966","± 6,547"
"Reno, NV Metro Area","83,759","± 2,357"
"Ann Arbor, MI Metro Area","83,754","± 4,347"
"Kahului-Wailuku, HI Metro Area","83,691","± 7,228"
"Bismarck, ND Metro Area","83,440","± 7,745"
"Providence-Warwick, RI-MA Metro Area","83,330","± 1,936"
"Durham-Chapel Hill, NC Metro Area","83,280","± 3,695"
"Kennewick-Richland, WA Metro Area","83,053","± 3,631"
"Modesto, CA Metro Area","82,758","± 3,418"
"Des Moines-West Des Moines, IA Metro Area","82,728","± 1,845"
"Norwich-New London-Willimantic, CT Metro Area","82,652","± 3,921"
"Boise City, ID Metro Area","82,526","± 2,481"
"Albany-Schenectady-Troy, NY Metro Area","82,410","± 1,860"
"Madison, WI Metro Area","82,132","± 2,531"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","81,996","± 2,999"
"Columbus, IN Metro Area","81,832","± 11,051"
"Omaha, NE-IA Metro Area","81,376","± 1,700"
"York-Hanover, PA Metro Area","81,362","± 2,630"
"Waterbury-Shelton, CT Metro Area","81,326","± 2,196"
"Winchester, VA-WV Metro Area","81,272","± 9,568"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","81,262","± 1,347"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","81,159","± 1,947"
"New Haven, CT Metro Area","80,733","± 2,740"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","80,683","± 4,269"
"Atlantic City-Hammonton, NJ Metro Area","80,073","± 3,159"
"Lancaster, PA Metro Area","80,067","± 3,071"
"Amherst Town-Northampton, MA Metro Area","79,969","± 6,752"
"Kansas City, MO-KS Metro Area","79,842","± 1,667"
"Houston-Pasadena-The Woodlands, TX Metro Area","79,463","± 1,117"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","79,325","± 2,039"
"North Port-Bradenton-Sarasota, FL Metro Area","78,914","± 2,589"
"Lebanon, PA Metro Area","78,824","± 3,421"
"Santa Fe, NM Metro Area","78,731","± 4,486"
"Palm Bay-Melbourne-Titusville, FL Metro Area","78,575","± 3,530"
"Pensacola-Ferry Pass-Brent, FL Metro Area","78,315","± 3,374"
"Saint Louis, MO-IL Metro Area","78,224","± 1,469"
"Traverse City, MI Metro Area","78,073","± 5,902"
"Pinehurst-Southern Pines, NC Metro Area","78,057","± 7,122"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","77,979","± 2,007"
"Indianapolis-Carmel-Greenwood, IN Metro Area","77,947","± 1,970"
"Gainesville, GA Metro Area","77,891","± 5,298"
"Cincinnati, OH-KY-IN Metro Area","77,844","± 1,951"
"Fayetteville-Springdale-Rogers, AR Metro Area","77,695","± 2,606"
"Pittsfield, MA Metro Area","77,498","± 7,229"
"St. George, UT Metro Area","77,480","± 5,735"
"Columbus, OH Metro Area","77,390","± 1,550"
"Orlando-Kissimmee-Sanford, FL Metro Area","77,378","± 1,827"
"Yuba City, CA Metro Area","77,335","± 6,662"
"Bloomington, IL Metro Area","77,200","± 6,702"
"Rapid City, SD Metro Area","77,164","± 5,869"
"Jacksonville, FL Metro Area","77,044","± 1,981"
"Milwaukee-Waukesha, WI Metro Area","77,006","± 1,755"
"Wilmington, NC Metro Area","76,904","± 3,730"
"Helena, MT Metro Area","76,866","± 8,849"
"Harrisburg-Carlisle, PA Metro Area","76,758","± 2,155"
"Gettysburg, PA Metro Area","76,725","± 6,304"
"Slidell-Mandeville-Covington, LA Metro Area","76,420","± 4,961"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","76,271","± 970"
"Harrisonburg, VA Metro Area","76,250","± 7,771"
"Sioux Falls, SD-MN Metro Area","76,226","± 3,747"
