Metropolitan_Area,hot__hotness_rank,hot__hotness_score,hot__supply_score,hot__demand_score,hot__median_listing_price,hot__median_listing_price_mm,hot__median_listing_price_yy,hot__median_days_on_market,hot__median_days_on_market_mm,hot__median_days_on_market_yy,inv__active_listing_count,inv__new_listing_count,inv__pending_ratio,inv__price_increased_share,inv__price_reduced_share,numbeo_Price_To_Income_Ratio,numbeo_GRY_Center,numbeo_GRY_Outside,numbeo_PTR_Center,numbeo_PTR_Outside,numbeo_MortgagePctIncome,numbeo_AffordabilityIndex,Median_HHI_2023_adj,pop_2020_est,pop_2024_est,pop_pct_change
"Albuquerque, NM",208,33.94648829431438,25.75250836120401,42.14046822742475,420000.0,-0.0034996144492556,0.0250152532031726,61.0,0.060869565217,0.150943396226,2118,1036.0,0.568,0.011,0.2533,3.0,0.102,10.9,9.8,9.2,0.269,3.7,67640,916528,926303,0.010665249725049317
"Anchorage, AK",178,40.80267558528428,64.54849498327759,17.05685618729097,475000.0,-0.0155440414507772,0.0343513528226904,46.0,0.164556962025,0.010989010989,993,574.0,0.8414,0.0077,0.1739,2.9,0.115,10.3,8.7,9.7,0.261,3.8,94150,398328,407213,0.022305737984776364
"Ann Arbor, MI",56,77.4247491638796,82.94314381270902,71.90635451505017,517500.0,-0.0299906279287722,-0.0170940170940171,38.5,0.013157894737,0.054794520548,708,408.0,0.6933,0.016,0.1449,3.3,0.115,10.1,8.7,9.9,0.29600000000000004,3.4,83754,372258,373875,0.00434376158470738
"Washington-Arlington-Alexandria, DC-VA-MD-WV",137,51.83946488294314,87.95986622073578,15.719063545150505,612499.5,-0.0200008,-0.0079734703545789,37.5,0.102941176471,0.056338028169,13669,6628.0,0.5545,0.0117,0.156,3.2,0.125,10.6,8.0,9.4,0.284,3.5,121469,6278542,6436489,0.025156636684121887
"Atlanta-Sandy Springs-Roswell, GA",235,25.919732441471574,40.468227424749166,11.37123745819398,419945.0,-0.0025059382422802,-0.0117778562183786,53.5,0.049019607843,0.215909090909,28989,9422.0,0.3091,0.0124,0.2787,2.6,0.131,14.1,7.6,7.1,0.231,4.3,86505,6104803,6411149,0.05018114425641581
"Austin-Round Rock-San Marcos, TX",283,11.37123745819398,19.063545150501675,3.678929765886288,510950.0,-0.0266692065911039,-0.0485102420856611,65.5,0.139130434783,0.129310344828,13123,3480.0,0.272,0.0071,0.3123,3.9,0.106,9.8,9.4,10.2,0.35000000000000003,2.9,98508,2283371,2550637,0.11704887204050503
"Baltimore-Columbia-Towson, MD",122,56.35451505016722,89.63210702341136,23.07692307692308,399900.0,-0.0002475006187515,0.0664,37.0,0.138461538462,0.0,6072,3544.0,0.6727,0.0142,0.1639,2.6,0.188,14.6,5.3,6.8,0.23399999999999999,4.3,94289,2844510,2859024,0.00510246052922999
"Boston-Cambridge-Newton, MA-NH",45,80.76923076923077,82.94314381270902,78.59531772575251,841950.0,-0.0152334997223601,-0.0140523449850693,38.5,0.241935483871,0.040540540541,7286,4516.0,0.2468,0.0049,0.1804,6.3,0.077,8.5,13.0,11.8,0.557,1.8,110697,4941632,5025517,0.016975161242277853
"Buffalo-Cheektowaga, NY",31,86.2876254180602,96.65551839464884,75.91973244147158,299450.0,-0.0015005001667222,0.0696552955884979,33.75,0.125,-0.1,1322,1164.0,1.7061,0.0071,0.0921,3.2,0.128,10.3,7.8,9.7,0.289,3.5,69861,1166902,1160172,-0.005767408059974188
"Charleston-North Charleston, SC",150,47.826086956521735,45.1505016722408,50.50167224080268,518750.0,-0.0303738317757009,-0.0023942537909018,52.0,0.045226130653,0.168539325843,3860,1442.0,0.3804,0.0165,0.2744,4.0,0.129,10.9,7.7,9.2,0.359,2.8,85165,799636,869940,0.08792000360163875
"Charlotte-Concord-Gastonia, NC-SC",162,44.48160535117057,43.812709030100336,45.1505016722408,449432.5,-0.0111485271160914,0.02376423690205,52.5,0.09375,0.296296296296,9628,4470.0,0.5496,0.011,0.2715,3.8,0.11699999999999999,11.9,8.5,8.4,0.33299999999999996,3.0,81262,2660329,2883370,0.08383963036150792
"Chicago-Naperville-Elgin, IL-IN",48,79.76588628762542,93.9799331103679,65.55183946488295,377000.0,-0.0076335877862595,-0.044359949302915,35.5,0.075757575758,0.075757575758,15717,10642.0,0.8523,0.0059,0.1542,2.7,0.153,14.7,6.5,6.8,0.249,4.0,87071,9449351,9408576,-0.004315111164777348
"Cleveland, OH",34,84.2809364548495,80.2675585284281,88.2943143812709,268825.0,-0.0295126353790613,0.0144339622641509,39.0,0.054054054054,0.054054054054,3641,2742.0,0.8917,0.0029,0.1686,1.8,0.24800000000000003,20.9,4.0,4.8,0.158,6.3,67586,2185825,2171877,-0.006381114682099436
"Colorado Springs, CO",167,42.642140468227424,52.84280936454849,32.441471571906355,510000.0,-0.0097087378640776,-0.0097087378640776,50.0,0.162790697674,0.234567901235,3985,1346.0,0.3721,0.0049,0.3221,2.8,0.145,13.3,6.9,7.5,0.255,3.9,89792,755105,777634,0.029835585779461136
"Columbus, OH",34,84.2809364548495,84.94983277591973,83.61204013377926,392450.0,0.0062833413888991,0.1054929577464789,38.0,0.055555555556,0.101449275362,4058,2806.0,0.7301,0.0057,0.261,3.6,0.113,10.1,8.9,9.9,0.322,3.1,77390,2138926,2225377,0.04041794807300486
"Dallas-Fort Worth-Arlington, TX",199,36.62207357859532,42.474916387959865,30.76923076923077,439900.0,-0.0002272727272727,-0.0224433582703981,53.0,0.06,0.204545454545,31819,10566.0,0.3294,0.0095,0.3117,3.2,0.105,14.0,9.5,7.1,0.281,3.6,86860,7637387,8344032,0.09252444586086839
"Denver-Aurora-Centennial, CO",237,25.58528428093645,45.1505016722408,6.020066889632108,600000.0,-0.0163128125256168,-0.04,52.0,0.155555555556,0.253012048193,13197,4484.0,0.3052,0.0076,0.3287,4.0,0.095,10.1,10.5,9.9,0.35700000000000004,2.8,103055,2963821,3052498,0.029919823093229988
"Detroit-Warren-Dearborn, MI",66,75.75250836120401,84.94983277591973,66.5551839464883,280000.0,0.0001786033220216,0.0003572704537335,38.0,0.085714285714,0.041095890411,9450,6358.0,0.6541,0.0061,0.173,2.1,0.227,19.5,4.4,5.1,0.188,5.3,72574,4392041,4400578,0.0019437432391910731
"Miami-Fort Lauderdale-West Palm Beach, FL",295,3.511705685618729,3.0100334448160537,4.013377926421405,509950.0,-9.803921568629637e-05,-0.046822429906542,88.0,0.060240963855,0.213793103448,49980,9240.0,0.1877,0.0068,0.1772,4.4,0.111,11.2,9.0,8.9,0.39,2.6,76271,6138333,6457988,0.05207521325415223
"Urban Honolulu, HI",292,4.849498327759197,7.6923076923076925,2.0066889632107023,675000.0,0.007462686567164,-0.0772385509227614,74.5,0.095588235294,0.231404958678,3527,902.0,0.3109,0.0046,0.1367,10.2,0.052000000000000005,5.1,19.2,19.4,0.919,1.1,103131,1016508,998747,-0.01747256293113286
"Houston-Pasadena-The Woodlands, TX",227,28.428093645484942,56.85618729096989,0.0,370000.0,-0.0131359605254384,-0.0051791181719493,49.5,0.087912087912,0.042105263158,35273,10560.0,0.3089,0.0198,0.2298,2.6,0.147,14.7,6.8,6.8,0.228,4.4,79463,7149642,7796182,0.09042970263406196
"Indianapolis-Carmel-Greenwood, IN",102,62.37458193979933,68.22742474916387,56.52173913043478,334272.5,-0.0123430344216279,-0.0150349907918968,44.5,0.098765432099,0.126582278481,5145,2946.0,0.6619,0.0056,0.2947,1.9,0.19100000000000003,17.5,5.2,5.7,0.17,5.9,77947,2089653,2174833,0.04076274864774199
"Jacksonville, FL",266,16.55518394648829,11.036789297658862,22.073578595317723,408495.0,-0.0012225088326263,-0.0144873341375151,72.0,0.082706766917,0.252173913043,9767,2840.0,0.3515,0.0096,0.2905,3.4,0.109,11.0,9.2,9.1,0.306,3.3,77044,1605848,1760548,0.09633539413443863
"New York-Newark-Jersey City, NY-NJ",187,39.46488294314381,39.46488294314381,39.46488294314381,775000.0,-0.0146217418944691,0.0,54.0,0.102040816327,0.038461538462,36844,14566.0,0.6851,0.0055,0.0901,5.4,0.096,8.3,10.4,12.0,0.485,2.1,95220,20081935,19940274,-0.007054150907270639
"Kansas City, MO-KS",115,58.02675585284281,61.20401337792642,54.84949832775919,399950.0,-0.0232614933756639,0.0074307304785894,48.0,0.066666666667,-0.049504950495,6286,3256.0,0.7144,0.013,0.1842,2.5,0.129,11.3,7.7,8.9,0.225,4.4,79842,2192035,2253579,0.028076194038872553
"Knoxville, TN",138,51.67224080267558,34.78260869565217,68.56187290969899,466950.0,0.0153294194390085,-0.0053253807647246,56.5,0.027272727273,0.269662921348,3393,1410.0,0.5963,0.0065,0.2683,3.9,0.129,10.2,7.7,9.8,0.34500000000000003,2.9,69872,903300,957608,0.060121775711280856
"Las Vegas-Henderson-North Las Vegas, NV",244,22.408026755852845,40.468227424749166,4.3478260869565215,475000.0,-0.0103908955962395,-0.0103135743306594,53.5,0.07,0.3375,9954,3232.0,0.2683,0.0106,0.251,4.2,0.092,9.8,10.9,10.2,0.379,2.6,75065,2265461,2398871,0.058888676521025966
