month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202507,32280,"Martin, TN",787.0,249350.0,-0.0024,-0.0171,96,0.0159,0.2,67.0,0.2036,0.2667,30.0,0.5,0.25,0.0,,,0.0,0.0,0.0,28.0,-0.3913,0.2727,0.1861,-0.1133,0.0269,26.0,-0.3462,-0.0192,130.0,-0.0031,-0.0141,1997.0,-0.0059,0.0403,285166.0,-0.0184,-0.1535,122.0,-0.1033,0.1462,0.2656,-0.1471,-0.0594,0
202507,10480,"Alamosa, CO",840.0,388500.0,-0.0306,0.0486,145,0.1115,0.0509,87.0,0.1083,0.0642,40.0,0.0526,0.4286,0.0,-1.0,,0.0,-0.0094,0.0,30.0,-0.1176,0.0714,0.15,-0.0141,-0.0101,22.0,-0.0444,0.4333,221.0,-0.018,0.0575,1618.0,-0.0314,-0.0247,483553.0,-0.0576,-0.0208,168.0,0.0877,0.102,0.1488,-0.0243,0.0397,0
202507,11740,"Ashland, OH",589.0,297350.0,0.039,0.1224,69,-0.0072,0.38,37.0,0.168,0.7381,40.0,-0.4118,-0.2308,0.0,,-1.0,0.0,0.0,-0.022,32.0,-0.2381,0.0667,0.175,-0.0604,0.0156,67.0,0.2072,-0.1728,168.0,0.0552,0.1204,1792.0,0.0475,-0.0053,366841.0,0.1555,0.0998,135.0,0.0847,0.0346,0.971,0.1725,-0.649,0
202507,47420,"Wahpeton, ND-MN",872.0,398000.0,0.0,0.2666,72,0.0141,-0.0464,69.0,0.0916,-0.119,26.0,0.1818,-0.2778,0.0,,,0.0,0.0,0.0,20.0,0.6667,1.0,0.1621,0.069,0.0673,15.0,-0.383,-0.3409,153.0,-0.0714,0.0435,2203.0,0.0243,0.1216,398939.0,-0.0041,0.1861,89.0,-0.0535,-0.0969,0.2014,-0.1296,-0.09,0
202507,28540,"Ketchikan, AK",922.0,449000.0,0.0,-0.097,56,0.0467,0.1546,61.0,-0.0392,-0.1312,18.0,0.2857,0.8,0.0,,,0.0,0.0,0.0,12.0,1.0,-0.1429,0.137,0.0678,-0.0336,17.0,0.2143,0.5455,262.0,0.0104,0.0461,1808.0,0.0698,-0.0074,524059.0,0.0174,-0.0203,73.0,0.0977,0.2269,0.3036,0.0419,0.0768,1
202507,34780,"Muskogee, OK",519.0,199925.0,-0.0001,0.0691,183,0.0519,0.1265,59.0,0.1143,0.2062,52.0,-0.2973,-0.1875,0.0,,,0.0,0.0,0.0,72.0,-0.027,0.1613,0.2266,-0.0025,0.0147,74.0,-0.075,-0.0327,126.0,0.0035,0.0411,1690.0,-0.0024,0.1187,261716.0,0.0061,0.1238,258.0,0.0138,0.0819,0.4055,-0.0556,-0.0667,0
202507,25060,"Gulfport-Biloxi, MS",126.0,299900.0,0.0,0.0235,1882,0.0037,0.0078,72.0,0.007,0.0672,642.0,-0.0273,0.0664,28.0,1.0,-0.4815,0.0085,0.0044,-0.0075,692.0,-0.0822,-0.0142,0.2098,-0.0099,-0.0005,782.0,-0.1272,-0.069,161.0,-0.0054,0.0062,1769.0,-0.0032,0.0126,379308.0,-0.0131,0.031,2659.0,-0.0394,-0.0159,0.4156,-0.0624,-0.0343,0
202507,46300,"Twin Falls, ID",371.0,449450.0,0.0,-0.0011,532,0.0462,0.2343,65.0,0.1207,0.2621,182.0,-0.0109,0.0341,2.0,-0.6667,-0.6667,0.0021,-0.0045,-0.0057,206.0,0.0098,0.3038,0.2205,-0.0054,0.0177,176.0,-0.1181,0.0203,248.0,0.0097,0.0277,1916.0,-0.0036,-0.0522,549940.0,0.0025,0.0049,705.0,-0.0028,0.1703,0.3299,-0.0615,-0.0692,0
202507,36830,"Othello, WA",913.0,355000.0,-0.0438,0.0292,64,0.0579,0.2673,75.0,0.2263,1.0135,14.0,-0.2222,0.0,0.0,,,0.0,0.0,0.0,16.0,0.1429,0.3333,0.145,0.0104,0.0354,24.0,0.0435,-0.2941,217.0,-0.0051,0.2467,1765.0,-0.0205,-0.0727,384964.0,-0.0687,0.0495,88.0,0.0667,0.0173,0.375,-0.0052,-0.2983,1
202507,40740,"Roswell, NM",565.0,278750.0,0.0193,-0.0501,161,0.0354,-0.1344,56.0,-0.0667,0.0275,62.0,-0.0882,0.0333,0.0,-1.0,,0.0,-0.0066,0.0,38.0,0.1875,-0.05,0.1317,0.0203,-0.0129,67.0,-0.1519,1.68,145.0,0.0088,0.0055,1975.0,-0.0152,-0.0067,318045.0,0.029,-0.0095,228.0,-0.0318,0.0857,0.4161,-0.0919,0.2817,0
