region,Population
"Aberdeen, SD Micro Area",42287
"Aberdeen, WA Micro Area",75636
"Abilene, TX Metro Area",176579
"Ada, OK Micro Area",38065
"Adrian, MI Micro Area",99423
"Aguadilla-Isabela, PR Metro Area",310160
"Akron, OH Metro Area",702219
"Alamogordo, NM Micro Area",67839
"Albany, GA Metro Area",148922
"Albany-Lebanon, OR Metro Area",128610
"Albany-Schenectady-Troy, NY Metro Area",899262
"Albemarle, NC Micro Area",62504
"Albert Lea, MN Micro Area",30895
"Albertville, AL Micro Area",97612
"Albuquerque, NM Metro Area",916528
"Alexander City, AL Micro Area",51698
"Alexandria, LA Metro Area",152192
"Alexandria, MN Micro Area",39006
"Alice, TX Micro Area",48722
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",861889
"Alma, MI Micro Area",41761
"Alpena, MI Micro Area",28907
"Altoona, PA Metro Area",122822
"Altus, OK Micro Area",24785
"Amarillo, TX Metro Area",268691
"Americus, GA Micro Area",34163
"Ames, IA Metro Area",125252
"Amsterdam, NY Micro Area",49532
"Anchorage, AK Metro Area",398328
"Andrews, TX Micro Area",18610
"Angola, IN Micro Area",34435
"Ann Arbor, MI Metro Area",372258
"Anniston-Oxford, AL Metro Area",116441
"Appleton, WI Metro Area",243147
"Arcadia, FL Micro Area",33976
"Ardmore, OK Micro Area",58149
"Arecibo, PR Metro Area",182705
"Arkadelphia, AR Micro Area",21446
"Asheville, NC Metro Area",469015
"Ashland, OH Micro Area",52447
"Ashtabula, OH Micro Area",97574
"Astoria, OR Micro Area",41072
"Atchison, KS Micro Area",16348
"Athens, OH Micro Area",62431
"Athens, TN Micro Area",53276
"Athens, TX Micro Area",82150
"Athens-Clarke County, GA Metro Area",215415
"Atlanta-Sandy Springs-Roswell, GA Metro Area",6089815
"Atlantic City-Hammonton, NJ Metro Area",274534
"Atmore, AL Micro Area",36757
"Auburn, IN Micro Area",43265
"Auburn, NY Micro Area",76248
"Auburn-Opelika, AL Metro Area",174241
"Augusta-Richmond County, GA-SC Metro Area",611000
"Augusta-Waterville, ME Micro Area",123642
"Austin, MN Micro Area",40029
"Austin-Round Rock-San Marcos, TX Metro Area",2283371
"Bainbridge, GA Micro Area",29367
"Bakersfield-Delano, CA Metro Area",909235
"Baltimore-Columbia-Towson, MD Metro Area",2844510
"Bangor, ME Metro Area",152199
"Baraboo, WI Micro Area",65763
"Bardstown, KY Micro Area",46738
"Barnstable Town, MA Metro Area",228996
"Barre, VT Micro Area",59807
"Bartlesville, OK Micro Area",52455
"Batavia, NY Micro Area",58388
"Batesville, AR Micro Area",55209
"Baton Rouge, LA Metro Area",870569
"Battle Creek, MI Metro Area",134310
"Bay City, MI Metro Area",103856
"Bay City, TX Micro Area",36255
"Beatrice, NE Micro Area",21704
"Beaumont-Port Arthur, TX Metro Area",397565
"Beaver Dam, WI Micro Area",89396
"Beckley, WV Metro Area",115079
"Bedford, IN Micro Area",45011
"Beeville, TX Micro Area",31047
"Bellefontaine, OH Micro Area",46150
"Bellingham, WA Metro Area",226847
"Bemidji, MN Micro Area",46228
"Bend, OR Metro Area",198253
"Bennettsville, SC Micro Area",26667
"Bennington, VT Micro Area",37347
"Berlin, NH Micro Area",31268
"Big Rapids, MI Micro Area",39714
"Big Spring, TX Micro Area",34860
"Big Stone Gap, VA Micro Area",39817
"Billings, MT Metro Area",184167
"Binghamton, NY Metro Area",247138
"Birmingham, AL Metro Area",1115289
"Bismarck, ND Metro Area",133626
